Days	G0	G25	G50	G75	G100
144	5.541	6.24	6.78	7.367	8.306
145	5.554	6.254	6.794	7.383	8.324
146	5.567	6.268	6.809	7.399	8.341
147	5.579	6.282	6.824	7.415	8.359
148	5.591	6.295	6.838	7.43	8.377
149	5.604	6.309	6.853	7.446	8.394
150	5.616	6.322	6.867	7.461	8.412
151	5.628	6.336	6.882	7.477	8.429
152	5.64	6.349	6.896	7.492	8.446
153	5.652	6.362	6.91	7.507	8.463
154	5.664	6.375	6.924	7.523	8.48
155	5.676	6.388	6.938	7.538	8.497
156	5.688	6.401	6.952	7.553	8.514
157	5.699	6.414	6.966	7.568	8.531
158	5.711	6.427	6.98	7.582	8.547
159	5.723	6.44	6.993	7.597	8.564
160	5.734	6.452	7.007	7.612	8.58
161	5.746	6.465	7.021	7.626	8.597
162	5.757	6.478	7.034	7.641	8.613
163	5.768	6.49	7.047	7.656	8.629
164	5.78	6.502	7.061	7.67	8.645
165	5.791	6.515	7.074	7.684	8.662
166	5.802	6.527	7.087	7.698	8.678
167	5.813	6.539	7.1	7.713	8.694
168	5.824	6.551	7.113	7.727	8.709
169	5.835	6.563	7.126	7.741	8.725
170	5.846	6.576	7.139	7.755	8.741
171	5.857	6.587	7.152	7.769	8.756
172	5.868	6.599	7.165	7.782	8.772
173	5.878	6.611	7.178	7.796	8.787
174	5.889	6.623	7.19	7.81	8.803
175	5.9	6.635	7.203	7.823	8.818
176	5.91	6.646	7.215	7.837	8.833
177	5.921	6.658	7.228	7.85	8.849
178	5.931	6.669	7.24	7.864	8.864
179	5.942	6.681	7.253	7.877	8.879
180	5.952	6.692	7.265	7.89	8.894
181	5.962	6.704	7.277	7.904	8.909
182	5.972	6.715	7.289	7.917	8.924
183	5.983	6.726	7.302	7.93	8.939
184	5.993	6.738	7.314	7.943	8.953
185	6.003	6.749	7.326	7.956	8.968
186	6.013	6.76	7.338	7.969	8.983
187	6.023	6.771	7.35	7.982	8.997
188	6.033	6.782	7.361	7.995	9.012
189	6.043	6.793	7.373	8.008	9.026
190	6.053	6.804	7.385	8.02	9.04
191	6.062	6.815	7.397	8.033	9.055
192	6.072	6.825	7.408	8.045	9.069
193	6.082	6.836	7.42	8.058	9.083
194	6.092	6.847	7.431	8.071	9.097
195	6.101	6.857	7.443	8.083	9.111
196	6.111	6.868	7.454	8.095	9.125
197	6.12	6.879	7.466	8.108	9.14
198	6.13	6.889	7.477	8.12	9.153
199	6.139	6.9	7.488	8.132	9.167
200	6.149	6.91	7.5	8.144	9.181
201	6.158	6.92	7.511	8.157	9.195
202	6.167	6.931	7.522	8.169	9.209
203	6.177	6.941	7.533	8.181	9.222
204	6.186	6.951	7.544	8.193	9.236
205	6.195	6.961	7.555	8.205	9.249
206	6.204	6.972	7.566	8.217	9.263
207	6.213	6.982	7.577	8.228	9.276
208	6.222	6.992	7.588	8.24	9.29
209	6.231	7.002	7.599	8.252	9.303
210	6.241	7.012	7.609	8.264	9.316
211	6.249	7.022	7.62	8.275	9.33
212	6.258	7.032	7.631	8.287	9.343
213	6.267	7.041	7.642	8.299	9.356
214	6.276	7.051	7.652	8.31	9.369
215	6.285	7.061	7.663	8.322	9.382
216	6.294	7.071	7.673	8.333	9.395
217	6.302	7.08	7.684	8.345	9.408
218	6.311	7.09	7.694	8.356	9.421
219	6.32	7.1	7.705	8.367	9.434
220	6.328	7.109	7.715	8.379	9.447
221	6.337	7.119	7.725	8.39	9.46
222	6.346	7.128	7.736	8.401	9.473
223	6.354	7.138	7.746	8.412	9.485
224	6.363	7.147	7.756	8.423	9.498
225	6.371	7.157	7.766	8.434	9.511
226	6.38	7.166	7.777	8.446	9.523
227	6.388	7.175	7.787	8.457	9.536
228	6.396	7.185	7.797	8.468	9.548
229	6.405	7.194	7.807	8.478	9.561
230	6.413	7.203	7.817	8.489	9.573
231	6.421	7.213	7.827	8.5	9.586
232	6.43	7.222	7.837	8.511	9.598
233	6.438	7.231	7.847	8.522	9.61
234	6.446	7.24	7.857	8.533	9.623
235	6.454	7.249	7.866	8.543	9.635
236	6.462	7.258	7.876	8.554	9.647
237	6.47	7.267	7.886	8.565	9.659
238	6.478	7.276	7.896	8.575	9.672
239	6.486	7.285	7.905	8.586	9.684
240	6.494	7.294	7.915	8.596	9.696
241	6.502	7.303	7.925	8.607	9.708
242	6.51	7.312	7.934	8.617	9.72
243	6.518	7.321	7.944	8.628	9.732
244	6.526	7.329	7.953	8.638	9.743
245	6.534	7.338	7.963	8.649	9.755
246	6.542	7.347	7.972	8.659	9.767
247	6.55	7.356	7.982	8.669	9.779
248	6.557	7.364	7.991	8.68	9.791
249	6.565	7.373	8.001	8.69	9.803
250	6.573	7.381	8.01	8.7	9.814
251	6.58	7.39	8.019	8.71	9.826
252	6.588	7.398	8.029	8.72	9.837
253	6.596	7.407	8.038	8.73	9.849
254	6.603	7.416	8.047	8.741	9.861
255	6.611	7.424	8.056	8.751	9.872
256	6.618	7.432	8.066	8.761	9.884
257	6.626	7.441	8.075	8.771	9.895
258	6.633	7.449	8.084	8.78	9.906
259	6.641	7.458	8.093	8.79	9.918
260	6.648	7.466	8.102	8.8	9.929
261	6.656	7.474	8.111	8.81	9.941
262	6.663	7.483	8.12	8.82	9.952
263	6.671	7.491	8.129	8.83	9.963
264	6.678	7.499	8.138	8.84	9.974
265	6.685	7.507	8.147	8.849	9.985
266	6.693	7.515	8.156	8.859	9.997
267	6.7	7.524	8.165	8.869	10.008
268	6.707	7.532	8.173	8.878	10.019
269	6.715	7.54	8.182	8.888	10.03
270	6.722	7.548	8.191	8.898	10.041
271	6.729	7.556	8.2	8.907	10.052
272	6.736	7.564	8.209	8.917	10.063
273	6.743	7.572	8.217	8.926	10.074
274	6.75	7.58	8.226	8.936	10.085
275	6.758	7.588	8.235	8.945	10.096
276	6.765	7.596	8.243	8.955	10.107
277	6.772	7.604	8.252	8.964	10.118
278	6.779	7.612	8.261	8.974	10.128
279	6.786	7.62	8.269	8.983	10.139
280	6.793	7.628	8.278	8.992	10.15
281	6.8	7.635	8.286	9.002	10.161
282	6.807	7.643	8.295	9.011	10.171
283	6.814	7.651	8.303	9.02	10.182
284	6.821	7.659	8.312	9.03	10.193
285	6.828	7.667	8.32	9.039	10.203
286	6.835	7.674	8.329	9.048	10.214
287	6.842	7.682	8.337	9.057	10.225
288	6.849	7.69	8.345	9.067	10.235
289	6.855	7.697	8.354	9.076	10.246
290	6.862	7.705	8.362	9.085	10.256
291	6.869	7.713	8.37	9.094	10.267
292	6.876	7.72	8.379	9.103	10.277
293	6.883	7.728	8.387	9.112	10.287
294	6.889	7.736	8.395	9.121	10.298
295	6.896	7.743	8.404	9.13	10.308
296	6.903	7.751	8.412	9.139	10.319
297	6.91	7.758	8.42	9.148	10.329
298	6.916	7.766	8.428	9.157	10.34
299	6.923	7.773	8.436	9.166	10.35
300	6.93	7.781	8.445	9.175	10.36
301	6.936	7.788	8.453	9.184	10.37
302	6.943	7.796	8.461	9.193	10.381
303	6.95	7.803	8.469	9.202	10.391
304	6.956	7.811	8.477	9.211	10.401
305	6.963	7.818	8.485	9.22	10.411
306	6.97	7.825	8.493	9.228	10.421
307	6.976	7.833	8.501	9.237	10.432
308	6.983	7.84	8.509	9.246	10.442
309	6.989	7.848	8.517	9.255	10.452
310	6.996	7.855	8.525	9.264	10.462
311	7.003	7.862	8.533	9.272	10.472
312	7.009	7.869	8.541	9.281	10.482
313	7.016	7.877	8.549	9.29	10.492
314	7.022	7.884	8.557	9.298	10.502
315	7.029	7.891	8.565	9.307	10.512
316	7.035	7.899	8.573	9.316	10.522
317	7.041	7.906	8.581	9.325	10.532
318	7.048	7.913	8.589	9.333	10.542
319	7.054	7.92	8.597	9.342	10.552
320	7.061	7.928	8.604	9.35	10.562
321	7.067	7.935	8.612	9.359	10.572
322	7.074	7.942	8.62	9.368	10.582
323	7.08	7.949	8.628	9.376	10.592
324	7.086	7.956	8.636	9.385	10.601
325	7.093	7.964	8.644	9.393	10.611
326	7.099	7.971	8.651	9.402	10.621
327	7.106	7.978	8.659	9.41	10.631
328	7.112	7.985	8.667	9.419	10.64
329	7.118	7.992	8.675	9.427	10.65
330	7.125	7.999	8.682	9.436	10.66
331	7.131	8.006	8.69	9.444	10.67
332	7.137	8.013	8.698	9.452	10.679
333	7.143	8.02	8.705	9.461	10.689
334	7.15	8.027	8.713	9.469	10.699
335	7.156	8.034	8.721	9.478	10.709
336	7.162	8.041	8.728	9.486	10.718
337	7.169	8.048	8.736	9.495	10.728
338	7.175	8.055	8.744	9.503	10.737
339	7.181	8.062	8.751	9.511	10.747
340	7.187	8.069	8.759	9.52	10.757
341	7.193	8.076	8.766	9.528	10.766
342	7.2	8.083	8.774	9.536	10.776
343	7.206	8.09	8.782	9.544	10.785
344	7.212	8.097	8.789	9.553	10.795
345	7.218	8.104	8.797	9.561	10.805
346	7.225	8.111	8.804	9.569	10.814
347	7.231	8.118	8.812	9.578	10.824
348	7.237	8.125	8.819	9.586	10.833
349	7.243	8.132	8.827	9.594	10.842
350	7.249	8.139	8.834	9.602	10.852
351	7.255	8.146	8.842	9.611	10.862
352	7.262	8.153	8.85	9.619	10.871
353	7.268	8.159	8.857	9.627	10.88
354	7.274	8.166	8.864	9.635	10.89
355	7.28	8.173	8.872	9.643	10.899
356	7.286	8.18	8.879	9.652	10.909
357	7.292	8.187	8.887	9.66	10.918
358	7.298	8.194	8.894	9.668	10.927
359	7.304	8.201	8.902	9.676	10.937
360	7.311	8.207	8.909	9.684	10.946
361	7.317	8.214	8.917	9.692	10.956
362	7.323	8.221	8.924	9.7	10.965
363	7.329	8.228	8.931	9.709	10.974
364	7.335	8.235	8.939	9.717	10.984
365	7.341	8.241	8.946	9.725	10.993
366	7.347	8.248	8.954	9.733	11.002
367	7.353	8.255	8.961	9.741	11.012
368	7.359	8.262	8.968	9.749	11.021
369	7.365	8.268	8.976	9.757	11.03
370	7.371	8.275	8.983	9.765	11.039
371	7.377	8.282	8.99	9.773	11.048
372	7.383	8.289	8.998	9.781	11.058
373	7.389	8.296	9.005	9.789	11.067
374	7.395	8.302	9.013	9.797	11.076
375	7.401	8.309	9.02	9.805	11.085
376	7.407	8.316	9.027	9.813	11.095
377	7.413	8.322	9.034	9.821	11.104
378	7.419	8.329	9.042	9.829	11.113
379	7.425	8.336	9.049	9.837	11.122
380	7.431	8.343	9.056	9.845	11.131
381	7.437	8.349	9.064	9.853	11.14
382	7.443	8.356	9.071	9.861	11.15
383	7.449	8.363	9.078	9.869	11.159
384	7.455	8.369	9.085	9.877	11.168
385	7.461	8.376	9.093	9.885	11.177
386	7.467	8.383	9.1	9.893	11.186
